SubFunctionID|Descr|FunctionID
809|Restaurant Manager|21
810|Shift Manager / Supervisor|21
811|Sommelier|21
812|Steward / Waiter / Waitress|21
813|F&B Service - Other|21
814|Front Office & Guest Services|21
815|Bell Boy / Porter|21
816|Bell Captain|21
817|Butler|21
818|Cashier|21
819|Concierge|21
820|Driver|21
821|Duty Manager|21
822|Front Office Executive|21
823|Front Office Manager|21
824|Guest Service Associate|21
825|Host / Hostess|21
826|Hotel / General Manager|21
827|Leisure / Casino Manager|21
828|Night Auditor / Manager|21
829|Receptionist|21
830|Revenue Manager|21
831|Travel Desk Manager|21
832|Front Office & Guest Services - Other|21
833|Housekeeping & Laundry|21
834|Housekeeping Executive / Attendant|21
835|Housekeeping Manager / Supervisor|21
836|Laundry Manager / Supervisor|21
837|Housekeeping & Laundry - Other|21
838|Kitchen / F&B Production|21
839|Brew Master|21
840|Chef De Partie / Demi Chef De Partie|21
841|Commis (Commi 1 / 2 / 3)|21
842|Executive Chef|21
843|Executive Sous Chef / Chef De Cuisine|21
844|Kitchen Steward / Dishwasher|21
845|Pastry Chef|21
846|Sous Chef|21
847|Trainee / Apprentice Chef|21
848|Kitchen / F&B Production - Other|21
849|Tourism Services|21
850|Activities Coordinator|21
851|Head - Tour Management|21
852|Reservation Executive|21
853|Reservation Manager|21
854|Tour Guide / Coordinator|21
855|Tour Manager|21
856|Tourist Driver|21
857|Travel Agent / Consultant|21
858|Visa / Immigration Consultant|21
859|Tourism Services - Other|21
860|Food, Beverage & Hospitality - Other|21
861|Doctor|22
862|Allergist / Immunologist|22
863|Anesthesiologist|22
864|Ayurved Practitioners|22
865|Bariatric Surgeon|22
866|Breast Surgeon|22
867|Cardiologist|22
868|Chief Medical Officer|22
869|Colon / Rectal Surgeon|22
870|Critical Care Physician|22
871|Dentist|22
872|Dermatologist|22
873|Endocrine Surgeon|22
874|Endocrinologist|22
875|Gastroenterologist|22
876|General Physician|22
877|General Surgeon|22
878|Geriatrician|22
879|Gynecological Surgeon|22
880|Gynecologist|22
881|Hand / Neck Surgeon|22
882|Hematologist|22
883|Homeopathy Physician|22
884|Infectiologist|22
885|Laparoscopic Surgeon|22
886|Medical Officer|22
887|Neonatologist|22
888|Neuro Surgeon|22
889|Neurologist|22
890|Neuropsychiatrist|22
891|Oncologist|22
892|Ophthalmological Surgeon|22
893|Orthopedist|22
894|Otolaryngologist (ENT)|22
895|Pain Specialist|22
896|Pediatric Surgeon|22
897|Pediatrician|22
898|Physiotherapist|22
899|Plastic / Reconstructive Surgeon|22
900|Podiatry Surgeon|22
901|Psychiatrist|22
902|Pulmonologist|22
903|Radiologist - Doctor|22
904|Respiratory Therapist|22
905|Rheumatologist|22
906|Robotic Surgeon|22
907|Somnologist|22
908|Thoracic Surgeon|22
909|Transplant Surgeon|22
910|Unani Physician|22
911|Urologic Surgeon|22
912|Urologist|22
913|Vascular Surgeon|22
914|Doctor - Other|22
915|Health Informatics|22
916|Allied Health Manager|22
917|Clinical Informatics|22
918|Hospital Administration|22
919|Medical Biller / Coder|22
920|Medical Illustrator|22
921|Medical Record / Health Informatics|22
922|Medical Transcriptionist|22
923|Nurse Informaticist|22
924|Pharmacy Analyst|22
925|Registrar|22
926|Schedulers|22
927|TPA Executive|22
928|Health Informatics - Other|22
929|Imaging & Diagnostics|22
930|Cardiovascular Technologist|22
931|Dental Laboratory Technician|22
932|Diagnostic Molecular Scientist|22
933|Electrocardiogram Technician|22
